wx,wy,wz,nx,ny,nz,tx,ty,tz,class
-14.994,-22.533,-4.606,3.692,-0.909,7.361,1.103,6.02,-1.122,basketball
-12.264,-19.401,-3.946,3.733,-0.822,8.311,-1.404,8.276,-1.07,basketball
-8.687,-15.398,-3.3,3.596,-1.31,8.735,-4.039,10.698,-0.775,basketball
-6.061,-10.726,-2.144,3.318,-1.853,8.628,-5.951,12.353,-0.019,basketball
-3.666,-4.662,-1.996,3.306,-2.037,8.718,-6.394,12.661,1.07,basketball
-2.722,2.727,-0.548,3.664,-2.158,9.015,-4.79,11.647,1.628,basketball
-0.36,9.96,0.062,4.144,-2.424,9.244,-2.531,10.444,1.353,basketball
3.202,16.441,0.359,4.481,-2.743,9.31,-0.723,9.422,1.185,basketball
6.591,22.025,-0.334,4.55,-3.118,9.226,0.335,8.637,1.308,basketball
8.017,25.819,-2.113,4.264,-3.488,9.167,0.63,8.156,1.358,basketball
6.764,26.744,-3.673,3.612,-3.753,9.181,0.284,7.951,1.656,basketball
4.744,24.134,-4.453,2.674,-3.909,9.225,-0.447,7.889,2.03,basketball
3.668,18.372,-4.023,1.847,-3.917,9.439,-1.17,8.009,1.893,basketball
4.002,11.582,-3.475,1.732,-3.797,9.803,-1.638,8.256,1.536,basketball
4.859,5.883,-3.185,2.43,-3.669,10.026,-1.713,8.365,1.519,basketball
4.335,1.858,-2.925,3.257,-3.598,9.978,-1.484,8.359,1.776,basketball
1.749,-0.397,-2.471,3.705,-3.627,9.655,-1.189,8.335,1.973,basketball
-1.365,-1.238,-1.933,3.528,-3.672,9.197,-0.815,8.325,1.888,basketball
-3.434,-1.363,-0.868,2.854,-3.764,8.805,-0.354,8.303,1.674,basketball
-4.276,-1.466,0.62,2.095,-3.768,8.481,0.065,8.259,1.512,basketball
-4.292,-2.079,1.95,1.468,-3.65,8.267,0.421,8.158,1.471,basketball
-3.857,-3.214,2.612,1.178,-3.499,8.222,0.634,8.228,1.429,basketball
-2.957,-4.672,2.939,1.197,-3.381,8.256,0.669,8.613,1.081,basketball
-1.857,-5.918,3.336,1.354,-3.327,8.284,0.617,9.272,0.645,basketball
-0.956,-6.59,3.758,1.536,-3.268,8.258,0.52,10.123,0.499,basketball
-0.327,-6.856,4.294,1.641,-3.2,8.188,0.244,10.998,0.786,basketball
0.346,-6.916,4.739,1.581,-3.145,8.052,-0.144,11.71,0.977,basketball
1.08,-6.98,4.92,1.416,-3.22,8.053,-0.485,12.216,0.954,basketball
1.567,-6.892,5.001,1.196,-3.329,8.042,-0.833,12.559,0.934,basketball
1.596,-6.606,4.945,1.014,-3.437,8.079,-1.143,12.755,0.791,basketball
1.13,-6.302,4.837,0.954,-3.516,8.195,-1.326,12.889,0.581,basketball
0.426,-6.067,4.937,1.008,-3.547,8.32,-1.213,13.109,0.346,basketball
-0.146,-5.904,5.273,1.183,-3.494,8.302,-0.764,13.457,-0.038,basketball
-0.342,-5.839,5.71,1.408,-3.384,8.145,-0.198,13.938,-0.327,basketball
0.049,-5.798,6.303,1.496,-3.256,7.875,0.291,14.405,-0.454,basketball
0.825,-5.745,6.981,1.33,-3.158,7.603,0.577,14.761,-0.56,basketball
1.585,-5.636,7.424,0.901,-3.208,7.507,0.751,14.881,-0.819,basketball
2.224,-5.262,7.618,0.34,-3.317,7.554,0.953,14.709,-0.982,basketball
2.564,-4.611,7.724,-0.152,-3.407,7.738,1.183,14.255,-1.107,basketball
2.598,-3.936,7.634,-0.445,-3.504,7.957,1.483,13.732,-1.378,basketball
2.422,-3.371,7.405,-0.484,-3.616,8.258,1.958,13.193,-1.7,basketball
2.145,-2.837,7.268,-0.447,-3.674,8.554,2.398,12.678,-1.63,basketball
1.984,-2.284,7.181,-0.48,-3.694,8.747,2.711,12.222,-1.533,basketball
2.077,-1.761,7.145,-0.655,-3.742,8.832,2.816,11.764,-1.387,basketball
2.435,-1.263,7.144,-0.952,-3.818,8.893,2.886,11.177,-1.234,basketball
2.938,-0.866,7.274,-1.342,-3.97,9.122,3.004,10.368,-0.985,basketball
3.381,-0.66,7.491,-1.737,-4.148,9.458,3.041,9.464,-0.419,basketball
3.452,-0.534,7.7,-2.088,-4.293,9.826,2.831,8.528,0.339,basketball
3.179,-0.273,7.882,-2.37,-4.439,10.233,2.342,7.502,1.207,basketball
2.841,0.136,8.015,-2.506,-4.53,10.47,1.584,6.395,1.994,basketball
2.594,0.516,8.17,-2.48,-4.583,10.597,0.56,5.534,2.528,basketball
2.464,0.673,8.285,-2.333,-4.709,10.712,-0.534,5.139,2.727,basketball
2.513,0.676,8.351,-2.351,-4.885,10.776,-1.636,5.161,2.847,basketball
2.63,0.852,8.292,-2.48,-5.066,10.816,-2.625,5.479,2.952,basketball
2.774,1.33,7.995,-2.401,-5.204,10.866,-3.348,6.051,2.984,basketball
2.774,2.047,7.558,-2.128,-5.29,10.857,-3.725,6.826,2.993,basketball
2.854,2.778,7.211,-1.741,-5.347,10.897,-3.762,7.722,3.059,basketball
2.766,3.17,7.172,-1.341,-5.471,11.048,-3.434,8.58,3.208,basketball
2.539,3.17,7.562,-1.039,-5.538,11.1,-2.877,9.137,3.445,basketball
2.175,2.813,8.07,-0.773,-5.528,11.029,-2.233,9.201,3.739,basketball
1.635,2.892,8.617,-0.643,-5.619,11.065,-1.693,8.922,4.047,basketball
1.018,3.425,9.05,-0.809,-5.81,11.195,-1.356,8.498,4.347,basketball
1.018,3.425,9.357,-1.109,-5.878,11.085,-1.262,8.193,4.521,basketball
1.226,4.219,9.228,-1.267,-5.793,10.782,-1.402,8.162,4.638,basketball
1.653,5.085,9.184,-1.168,-5.723,10.557,-1.633,8.347,4.669,basketball
2.03,5.898,8.92,-0.929,-5.71,10.361,-1.853,8.668,4.559,basketball
2.227,6.51,8.616,-0.765,-5.775,10.378,-1.972,9.099,4.389,basketball
2.155,6.782,8.383,-0.832,-5.892,10.555,-1.943,9.56,4.294,basketball
1.809,6.778,8.339,-1.087,-6.014,10.776,-1.872,9.971,4.319,basketball
1.385,6.698,8.59,-1.386,-6.105,10.967,-1.839,10.418,4.41,basketball
0.93,6.455,9.187,-1.578,-6.144,11.072,-1.856,11.107,4.604,basketball
0.46,6.183,9.954,-1.663,-6.164,11.046,-1.936,12,4.773,basketball
0.284,6.109,10.652,-1.659,-6.115,10.829,-1.992,12.908,4.816,basketball
0.619,6.206,11.137,-1.65,-6.057,10.689,-1.942,13.617,4.719,basketball
1.331,6.375,11.298,-1.714,-6.087,10.758,-1.812,13.998,4.555,basketball
2.199,6.523,11.234,-1.822,-6.205,10.994,-1.737,14.017,4.353,basketball
2.954,6.638,10.945,-1.901,-6.395,11.339,-1.743,13.782,3.94,basketball
3.365,6.664,10.581,-1.963,-6.639,11.635,-1.956,13.477,3.083,basketball
3.456,6.614,10.321,-2.006,-6.827,11.752,-2.254,13.248,1.996,basketball
3.327,6.493,10.35,-1.856,-6.845,11.727,-2.508,12.896,0.889,basketball
2.964,6.329,10.561,-1.513,-6.74,11.665,-2.55,12.329,0.002,basketball
2.315,6.134,10.746,-1.091,-6.572,11.655,-2.197,11.443,-0.587,basketball
1.511,5.868,10.889,-0.766,-6.312,11.666,-1.741,10.665,-1.343,basketball
0.785,5.465,11.073,-0.702,-6.038,11.625,-1.192,10.344,-2.158,basketball
0.326,5.114,11.219,-0.937,-5.802,11.487,-0.729,10.554,-2.795,basketball
0.549,4.818,11.524,-1.244,-5.586,11.325,-0.468,11.018,-3.055,basketball
1.383,4.548,11.929,-1.282,-5.426,11.175,-0.338,11.444,-3.067,basketball
2.362,4.387,12.315,-1.488,-5.338,11.022,-0.31,11.584,-2.786,basketball
3.213,4.323,12.851,-1.441,-5.326,10.885,-0.329,11.17,-2.231,basketball
3.725,4.295,13.464,-1.202,-5.326,10.578,-0.317,10.242,-1.678,basketball
3.791,4.289,13.813,-0.854,-5.399,10.299,-0.169,9.099,-1.148,basketball
3.639,4.222,13.793,-0.537,-5.289,10.337,-0.026,7.885,-0.575,basketball
3.408,4.104,13.461,-0.224,-4.919,10.713,0.15,6.913,-0.449,basketball
2.984,4.061,13.04,0.119,-4.507,11.326,0.414,6.476,-1.079,basketball
2.367,4.107,12.731,0.599,-4.219,11.888,0.651,6.541,-1.95,basketball
1.832,4.256,12.605,1.381,-4.009,11.754,0.588,6.862,-2.514,basketball
1.772,4.43,13.005,2.491,-3.954,11.941,0.196,7.244,-2.683,basketball
2.834,4.689,13.097,3.291,-3.904,11.967,-0.453,7.615,-2.643,basketball
2.834,4.689,13.097,3.486,-3.534,12.043,-1.105,7.892,-2.66,basketball
3.214,4.752,13.148,3.178,-2.905,12.121,-1.386,8.072,-2.689,basketball
3.237,4.626,13.075,2.557,-2.192,12.269,-1.308,8.182,-2.649,basketball
2.953,4.266,12.882,1.972,-1.415,12.322,-0.925,8.341,-2.597,basketball
2.55,3.832,12.629,1.663,-0.83,12.05,-0.539,8.399,-2.528,basketball
2.276,3.456,12.353,1.768,-0.539,11.635,0.121,8.544,-2.209,basketball
2.132,3.153,12.078,2.106,-0.302,11.034,1.012,9.002,-1.687,basketball
2.07,2.945,11.87,2.429,0.041,10.327,1.966,9.504,-0.85,basketball
2.112,2.794,11.716,2.602,0.506,9.422,2.842,9.899,0.458,basketball
2.328,2.726,11.539,2.744,1.015,8.539,3.558,10.317,2.198,basketball
2.678,2.759,11.29,2.794,1.428,8.043,3.803,11.325,4.842,basketball
3.029,2.893,10.937,2.831,1.597,7.768,3.663,11.878,9.594,basketball
3.367,3.116,10.502,2.909,1.714,7.424,3.584,9.631,14.613,basketball
3.687,3.336,10.126,3.115,2.089,7.063,3.911,6.13,15.862,basketball
3.795,3.548,9.771,3.462,2.686,6.734,4.401,2.523,10.868,basketball
3.677,3.828,9.571,3.621,3.166,6.456,7.151,-0.15,-2.667,basketball
3.676,4.306,9.519,3.397,3.587,6.005,10.309,2.856,-11.183,basketball
3.991,4.932,9.559,2.952,4.074,5.623,11.821,11.246,-10.969,basketball
4.543,5.527,9.543,2.593,4.583,5.456,12.021,18.355,-3.767,basketball
5.128,5.908,9.454,2.344,4.918,5.485,9.292,18.623,7.203,basketball
5.576,6.078,9.309,2.088,5.061,5.575,3.442,14.795,9.966,basketball
5.872,6.25,9.135,1.812,5.097,5.77,-0.791,11.53,3.831,basketball
5.968,6.547,8.942,1.577,5.133,6.039,-1.404,10.162,-1.803,basketball
5.95,6.876,8.776,1.425,5.212,6.223,-1.375,9.404,-1.78,basketball
5.887,7.023,8.732,1.329,5.284,6.479,-2.199,8.82,-2.124,basketball
5.819,7.028,8.776,1.267,5.368,6.804,-3.529,9.127,-2.564,basketball
5.865,6.976,8.871,1.267,5.485,7.253,-4.254,9.59,-2.404,basketball
6.007,6.8,8.956,1.286,5.564,7.519,-5.031,10.963,-2.4,basketball
6.111,6.486,8.921,1.352,5.452,7.799,-6.196,11.016,-1.891,basketball
6.254,6.189,8.824,1.353,5.102,8.357,-7.299,11.957,-0.666,basketball
6.559,6.045,8.703,1.239,4.638,8.89,-7.712,12.034,-0.198,basketball
6.954,6.065,8.468,1.116,4.228,9.284,-6.874,11.413,0.511,basketball
7.215,6.132,8.108,1.03,3.836,9.366,-5.07,10.696,0.424,basketball
7.195,6.092,7.717,0.795,3.451,9.322,-3.015,10.15,0.886,basketball
6.888,5.844,7.45,0.461,3.187,9.392,-1.222,9.772,1.234,basketball
6.48,5.472,7.345,0.214,3.047,9.588,-0.034,9.431,1.562,basketball
6.165,5.036,7.335,-0.026,3.141,9.849,0.432,9.147,1.802,basketball
6.144,4.545,7.402,-0.421,3.542,9.979,0.389,8.957,1.893,basketball
6.48,4.089,7.38,-0.968,3.99,10.15,0.063,8.887,1.888,basketball
6.998,3.74,7.301,-1.518,4.197,10.232,-0.464,8.965,1.975,basketball
7.464,3.624,7.248,-1.711,4.067,10.108,-0.943,9.12,2.163,basketball
7.877,3.831,7.248,-1.513,3.709,10.136,-1.221,9.264,2.4,basketball
8.201,4.256,7.025,-1.251,3.291,10.216,-1.344,9.306,2.644,basketball
8.188,4.483,7.008,-1.039,2.861,10.356,-1.368,9.216,2.82,basketball
7.643,4.334,7.242,-1.149,2.387,10.343,-1.314,9.05,2.905,basketball
6.857,3.895,7.635,-1.531,1.858,10.179,-1.257,8.841,2.928,basketball
6.075,3.163,7.866,-1.872,1.383,9.844,-1.383,8.645,2.903,basketball
5.537,2.29,7.806,-1.981,1.061,9.542,-1.565,8.435,2.747,basketball
5.406,1.504,7.514,-1.785,0.972,9.064,-1.76,8.316,2.619,basketball
5.361,0.903,7.187,-1.358,1,8.659,-1.882,8.382,2.393,basketball
5.338,0.456,6.867,-0.824,0.939,8.209,-1.902,8.593,2.091,basketball
5.484,0.183,6.565,-0.377,0.868,7.828,-1.79,8.862,1.58,basketball
5.82,0.127,6.203,-0.174,0.837,7.593,-1.553,9.23,1.025,basketball
6.254,0.194,6.082,-0.296,0.833,7.474,-1.18,9.646,0.785,basketball
6.542,0.405,6.12,-0.715,0.863,7.336,-0.838,10.002,0.924,basketball
6.486,0.733,6.141,-1.324,0.877,7.124,-0.693,10.192,1.076,basketball
6.136,1.079,6.068,-2.046,0.88,6.88,-0.642,10.26,0.959,basketball
5.659,1.217,5.999,-2.826,0.891,6.743,-0.546,10.382,0.53,basketball
5.279,1.288,5.866,-3.573,0.937,6.755,-0.302,10.676,-0.178,basketball
4.775,1.44,5.671,-4.112,0.973,6.789,0.085,11.035,-0.91,basketball
4.082,1.702,5.437,-4.307,0.939,6.772,0.505,11.368,-1.395,basketball
3.384,1.956,5.169,-4.264,0.796,6.657,0.887,11.645,-1.669,basketball
2.88,2.187,5.031,-4.167,0.552,6.503,1.261,11.982,-1.85,basketball
2.455,2.544,5.098,-4.069,0.298,6.373,1.778,12.403,-1.988,basketball
2.192,3.106,5.32,-3.955,0.22,6.33,2.553,12.81,-1.9,basketball
2.217,3.658,5.752,-3.852,0.287,6.37,3.403,13.024,-1.504,basketball
2.591,3.992,6.263,-3.809,0.455,6.521,4.222,12.734,-0.815,basketball
3.227,4.175,6.74,-3.863,0.651,6.946,4.945,11.827,-0.223,basketball
3.563,4.847,3.946,-4.043,0.784,7.512,5.045,10.643,0.293,basketball
4.014,10.05,5.492,-4.338,0.88,7.95,4.434,9.505,0.718,basketball
9.388,12.341,12.057,-4.684,0.936,8.285,3.365,8.697,1.255,basketball
10.855,8.845,13.435,-5.073,0.971,8.508,1.958,8.307,1.853,basketball
6.78,4.913,12.597,-5.52,1.02,8.689,0.242,8.255,2.484,basketball
4.022,3.185,11.841,-5.94,1.057,8.893,-1.577,8.402,3.14,basketball
4.069,3.584,10.825,-6.092,1.007,9.1,-3.297,8.548,3.707,basketball
4.011,4.503,9.893,-5.756,0.893,9.282,-4.678,8.882,4.519,basketball
4.605,4.365,9.391,-5.174,0.76,9.331,-5.914,8.987,5.523,basketball
4.811,4.423,9.391,-4.6,0.668,9.139,-6.652,8.535,6.468,basketball
4.792,3.869,10.05,-4.116,0.759,8.683,-6.789,7.987,7.145,basketball
4.53,3.367,9.911,-3.909,1.034,8.137,-6.104,7.482,7.292,basketball
3.899,3.344,10.6,-4.123,1.458,7.734,-4.834,7.157,6.887,basketball
3.229,3.492,11.374,-4.653,1.901,7.517,-3.312,6.926,6.009,basketball
2.504,3.685,11.897,-5.324,2.286,7.421,-1.757,6.833,5.006,basketball
2.233,3.755,12.238,-5.793,2.509,7.422,-0.279,6.722,3.974,basketball
2.531,3.704,12.7,-5.813,2.5,7.356,1.088,6.506,2.986,basketball
3.238,3.545,13.37,-5.574,2.365,7.216,2.237,6.366,2.137,basketball
3.654,3.213,14.04,-5.248,2.219,7.026,3.041,6.586,1.539,basketball
3.431,2.863,14.54,-4.902,2.16,6.813,3.42,6.59,0.746,basketball
2.787,2.471,15.02,-4.579,2.204,6.638,3.579,6.754,-0.057,basketball
2.016,1.833,15.608,-4.338,2.337,6.594,3.225,7.147,-0.45,basketball
1.423,1.15,15.76,-4.259,2.488,6.659,2.588,7.415,-0.937,basketball
1.347,0.703,15.678,-4.365,2.623,6.791,1.929,7.695,-1.373,basketball
1.847,0.594,15.428,-4.583,2.711,6.998,1.202,8.064,-1.567,basketball
2.541,0.418,15.075,-4.808,2.671,7.295,0.387,8.576,-1.686,basketball
2.853,0.012,14.53,-5,2.495,7.509,-0.403,9.161,-1.946,basketball
2.225,-0.23,13.637,-5.04,2.355,7.451,-0.892,9.807,-2.249,basketball
1.488,-0.402,13.381,-4.903,2.45,7.211,-1.067,10.388,-2.197,basketball
1.415,-0.912,13.024,-4.555,2.711,6.941,-1.14,10.763,-1.753,basketball
1.7,-1.308,12.54,-3.964,2.871,6.7,-1.155,10.813,-1.079,basketball
2.313,-1.3,12.324,-3.363,2.794,6.636,-1.263,10.596,-0.308,basketball
3.259,-1.551,12.049,-3.108,2.538,6.732,-1.466,10.106,0.496,basketball
3.831,-2.064,11.627,-3.312,2.405,6.869,-1.769,9.439,1.225,basketball
3.682,-2.544,11.21,-3.712,2.545,6.893,-2.106,8.728,1.907,basketball
3.084,-3.041,10.59,-4.168,2.889,6.768,-2.295,8.112,2.274,basketball
2.515,-3.344,9.6,-4.532,3.27,6.536,-2.269,7.596,2.128,basketball
1.955,-3.288,8.559,-4.705,3.625,6.348,-2.13,7.457,1.507,basketball
1.389,-3.218,7.918,-4.588,3.887,6.224,-1.994,8.12,0.755,basketball
1.244,-3.354,7.616,-4.287,3.946,6.151,-1.996,9.596,0.107,basketball
1.688,-3.397,7.337,-3.882,3.887,6.044,-2.053,11.833,0.017,basketball
2.047,-3.159,7.015,-3.455,3.861,5.927,-2.29,13.543,0.408,basketball
2.073,-2.834,6.737,-3.09,3.974,5.892,-2.683,14.029,1.571,basketball
1.806,-2.593,6.406,-2.915,4.191,5.923,-4.177,13.643,3.415,basketball
1.706,-2.3,5.866,-2.993,4.397,5.874,-6.363,12.226,5.583,basketball
1.542,-1.999,5.096,-3.248,4.502,5.687,-7.657,10.606,6.452,basketball
0.994,-1.932,4.385,-3.592,4.56,5.429,-7.584,9.91,4.55,basketball
0.646,-2.11,3.619,-3.886,4.633,5.234,-6.534,9.811,1.743,basketball
0.488,-2.288,2.867,-4.119,4.737,5.218,-5.21,9.647,0.943,basketball
0.14,-2.448,2.278,-4.197,4.83,5.424,-3.673,9.073,0.625,basketball
-0.357,-2.75,1.798,-4.079,4.89,5.675,-1.735,8.402,-0.087,basketball
-0.988,-3.097,1.463,-3.853,4.94,5.826,0.055,8.09,-0.62,basketball
-1.666,-3.3,1.273,-3.597,5.04,5.886,1.11,8.505,-0.491,basketball
-2.132,-3.472,1.109,-3.366,5.223,5.877,1.08,9.415,0.17,basketball
-2.213,-3.622,1.022,-3.176,5.483,5.75,0.162,10.411,0.893,basketball
-2.142,-3.926,0.939,-3.11,5.79,5.611,-1.396,11.449,1.737,basketball
-2.057,-4.214,0.773,-3.197,6.054,5.388,-3.038,12.397,2.747,basketball
-2.083,-4.257,0.558,-3.389,6.219,5.142,-4.238,12.763,3.546,basketball
-2.29,-4.162,0.395,-3.569,6.315,4.96,-4.676,12.188,3.381,basketball
-2.626,-4.051,0.193,-3.569,6.342,4.905,-4.244,10.989,2.082,basketball
-2.989,-3.874,-0.002,-3.639,6.319,4.914,-3.17,9.645,0.357,basketball
-3.183,-3.713,-0.219,-3.551,6.304,4.907,-1.985,8.593,-0.729,basketball
-3.227,-3.699,-0.4,-3.387,6.377,4.901,-1.194,7.971,-1.081,basketball
-3.432,-3.448,-0.383,-3.214,6.683,4.811,-0.942,7.79,-1.067,basketball
-2.904,-3.391,-0.207,-3.091,6.521,4.602,-1.015,7.974,-0.937,basketball
-1.602,-3.536,0.097,-3,6.986,4.323,-1.098,8.22,-0.652,basketball
-0.368,-3.736,0.458,-2.913,6.847,4.099,-1.082,8.314,-0.016,basketball
0.098,-3.846,0.881,-2.747,7.209,4.071,-0.96,8.192,0.614,basketball
-0.108,-4.007,1.3,-2.774,7.423,4.106,-0.761,8.054,1.065,basketball
-0.808,-4.16,1.477,-2.774,7.423,4.063,-0.59,8.089,1.36,basketball
-1.636,-4.18,1.372,-2.935,7.602,3.757,-0.645,8.223,1.745,basketball
-2.373,-4.122,1.076,-3.174,7.793,3.863,-0.997,8.297,1.962,basketball
-3.19,-4.106,0.71,-3.304,8.083,3.747,-1.355,8.292,1.853,basketball
-3.976,-4.158,0.443,-3.226,8.369,3.758,-1.595,8.291,1.847,basketball
-4.395,-4.351,0.369,-2.903,8.554,3.713,-1.671,8.301,1.805,basketball
-4.556,-4.751,0.449,-2.393,8.554,3.713,-1.514,8.346,1.202,basketball
-4.913,-5.259,0.573,-1.823,8.712,3.757,-1.099,8.596,0.527,basketball
-5.393,-5.806,0.57,-1.292,9.176,3.821,-0.668,9.114,0.156,basketball
-5.757,-6.428,0.502,-0.945,9.89,3.882,-0.467,9.924,-0.08,basketball
-6.256,-7.136,0.423,-0.866,10.649,3.843,-0.527,10.915,-0.251,basketball
-6.823,-7.888,0.423,-0.977,11.137,3.66,-0.776,11.897,-0.249,basketball
-7.118,-8.758,0.376,-1.18,11.326,3.437,-1.035,12.742,-0.061,basketball
-7.428,-9.771,0.348,-1.31,11.499,3.524,-0.895,13.311,-0.102,basketball
-8.106,-10.799,0.316,-1.284,11.864,4.061,-0.389,13.727,-0.509,basketball
-8.881,-11.806,0.267,-1.004,12.209,4.642,0.217,14.198,-1.15,basketball
-9.554,-12.842,0.293,-0.439,12.231,4.955,0.79,14.655,-1.974,basketball
-10.153,-13.764,0.338,0.298,11.929,5.039,1.179,15.036,-2.573,basketball
-10.922,-14.751,0.316,1.094,11.419,4.897,1.486,15.315,-2.619,basketball
-12.044,-15.862,0.17,1.808,10.955,4.58,1.335,15.398,-2.476,basketball
-13.496,-16.928,-0.136,2.218,10.676,4.177,0.955,15.251,-2.412,basketball
-15.11,-18.073,-0.733,2.223,10.596,3.707,1.082,14.858,-2.333,basketball
-17.002,-19.342,-1.657,1.851,10.534,3.305,0.921,14.246,-2.182,basketball
-19.003,-20.699,-2.945,1.46,10.341,3.256,0.781,14.171,-2.189,basketball
-21.685,-22.326,-4.247,1.253,10.116,3.349,0.741,13.295,-2.27,basketball
-23.506,-24.444,-5.398,1.295,9.908,3.412,0.857,12.372,-2.27,basketball
-24.41,-26.936,-6.184,1.52,9.687,3.373,1.062,11.45,-1.955,basketball
-25.057,-29.204,-6.464,1.745,9.374,3.19,1.322,10.61,-2.114,basketball
-24.675,-29.999,-6.503,1.839,9.072,2.948,1.668,9.96,-1.826,basketball
-23.813,-29.637,-6.008,1.748,8.903,2.707,1.964,9.414,-1.426,basketball
-21.075,-27.988,-5.403,1.51,8.781,2.586,2.194,8.926,-0.998,basketball
-19.427,-25.665,-4.762,1.258,8.639,2.531,2.28,8.386,-0.535,basketball
-18.598,-22.774,-4.005,1.154,8.474,2.465,2.195,7.749,-0.154,basketball
-16.073,-19.477,-3.381,1.208,8.266,2.415,1.875,7.222,0.151,basketball
-12.292,-15.349,-2.814,1.296,8.053,2.359,1.434,6.925,0.554,basketball
-8.283,-9.579,-1.634,1.359,7.891,2.265,0.983,7.021,1.077,basketball
-3.02,-4.468,-0.116,1.381,7.813,2.119,0.473,7.32,1.747,basketball
1.183,2.236,0.824,1.371,7.861,1.968,-0.166,7.507,2.436,basketball
1.585,8.029,0.705,1.415,7.939,1.846,-0.809,7.568,3.013,basketball
3.209,13.952,0.899,1.557,7.944,1.802,-1.354,7.264,3.45,basketball
6.579,19.46,0.315,1.724,7.853,1.96,-1.877,6.627,3.803,basketball
9.681,23.778,-0.897,1.834,7.754,2.14,-2.376,6.044,4.081,basketball
9.36,26.561,-2.553,1.871,7.626,2.258,-3.011,5.738,4.381,basketball
7.173,26.171,-5.131,1.799,7.478,2.222,-3.797,5.827,4.818,basketball
5.911,22.841,-7.096,1.633,7.305,2.152,-4.542,6.361,5.413,basketball
4.899,16.415,-8.656,1.452,7.111,2.225,-5.183,7.173,6.018,basketball
3.916,9.2,-9.364,1.421,6.907,2.21,-5.629,8.203,6.674,basketball
1.441,3.181,-9.415,1.511,6.77,2.023,-5.859,9.115,7.289,basketball
-1.476,0.778,-9.076,1.595,6.821,1.792,-5.911,9.768,7.734,basketball
-3.004,1.33,-8.486,1.592,6.76,1.635,-5.917,10.138,8.066,basketball
-3.774,2.094,-7.21,1.45,6.425,1.508,-5.982,10.214,8.305,basketball
-3.949,1.676,-5.092,1.21,6.239,1.415,-6.17,10.145,8.217,basketball
-2.995,0.327,-2.728,1.02,6.613,1.324,-6.425,10.447,7.831,basketball
-1.392,-1.554,-0.913,0.917,7.693,1.178,-6.604,11.262,7.342,basketball
-0.195,-3.43,0.153,0.931,9.103,1.134,-6.574,12.39,6.778,basketball
-0.195,-4.712,0.842,0.898,10.05,1.365,-6.282,13.673,6.121,basketball
-1.073,-5.265,1.659,0.548,10.132,1.696,-5.759,14.686,5.086,basketball
-0.922,-5.16,2.744,-0.115,9.807,1.883,-5.207,15.313,3.205,basketball
-2.053,-4.666,3.765,-0.747,9.792,1.967,-4.645,15.465,1.384,basketball
-3.303,-4.053,4.693,-1.099,10.434,2.025,-4.093,15.118,0.142,basketball
-4.195,-4.007,5.526,-1.186,11.54,2.296,-3.646,14.298,-0.734,basketball
-4.272,-3.349,6.23,-1.113,12.713,2.764,-3.451,13.121,-2.114,basketball
-3.513,-2.92,6.843,-1.008,13.718,3.045,-3.229,12.323,-4.21,basketball
-2.397,-2.765,7.495,-1.01,14.506,2.998,-2.982,12.419,-7.365,basketball
-1.36,-2.496,7.361,-1.052,15.025,2.691,-2.228,13.901,-9.597,basketball
-0.687,-1.771,7.415,-1.104,15.41,2.358,-2.034,15.429,-9.731,basketball
-0.707,-0.745,7.039,-1.04,15.499,2.039,-2.357,15.751,-8.812,basketball
-1.243,0.201,6.467,-0.778,15.214,1.669,-2.401,14.585,-7.415,basketball
-1.968,0.919,5.838,-0.437,14.751,1.32,-2.229,12.649,-5.748,basketball
-2.541,1.46,5.371,-0.195,14.145,0.985,-2.027,10.592,-3.865,basketball
-2.782,1.999,5.033,-0.144,13.441,0.752,-2.081,8.938,-2.44,basketball
-2.592,2.551,4.803,-0.266,12.659,0.529,-2.137,8.073,-1.426,basketball
-2,3.183,4.49,-0.476,11.885,0.219,-2.397,8.085,-1.411,basketball
-1.221,3.901,4.371,-0.625,11.145,-0.159,-2.576,8.718,-2.399,basketball
-0.475,4.779,4.408,-0.703,10.393,-0.46,-2.261,9.553,-3.525,basketball
0.129,5.794,4.458,-0.733,9.689,-0.567,-1.508,10.294,-4.486,basketball
0.718,6.737,4.466,-0.688,9.06,-0.557,-0.473,10.696,-5.103,basketball
1.246,7.434,4.521,-0.534,8.525,-0.462,0.702,10.624,-5.267,basketball
1.676,7.86,4.664,-0.243,8.012,-0.353,1.845,10.232,-4.894,basketball
1.901,8.137,4.815,0.11,7.56,-0.302,2.793,9.804,-4.067,basketball
1.961,8.436,5.015,0.376,7.251,-0.26,3.705,9.371,-3.209,basketball
2.004,8.801,5.313,0.523,7.07,-0.263,4.652,8.903,-2.599,basketball
2.12,9.153,5.908,0.684,6.949,-0.328,5.307,8.414,-2.357,basketball
2.436,9.293,6.78,0.825,6.791,-0.425,5.47,8.006,-1.92,basketball
3.112,9.224,7.807,0.706,6.571,-0.42,5.316,7.702,-0.912,basketball
4.106,9.104,8.787,0.31,6.464,-0.255,4.975,7.502,0.351,basketball
5.347,9.161,9.641,-0.265,6.596,0.055,4.446,7.343,1.628,basketball
6.482,9.43,10.43,-0.801,6.837,0.486,3.867,7.23,3.105,basketball
7.069,9.591,10.994,-1.13,6.965,0.97,3.208,7.007,4.854,basketball
6.724,9.372,11.211,-1.073,6.966,1.389,2.421,6.512,6.472,basketball
